1,femenino,carrie,Longford,003,ingenieria mecanica,05
2,masculino,denver,Escott,088,ciencia de la computacion,02
3,masculino,Warner,Birkett,078,bioingenieria,03
4,femenino,dado,Higford,085,ingenieria ambiental,02
5,femenino,Neddie,Gawkroge,017,ingenieria ambiental,07
6,masculino,Nina,Mattevi,045,ingenieria industrial,04
7,femenino,Palmera,Cranston,023,ingenieria electronica,10
8,masculino,Cullie,Hansbury,035,ingenieria mecanica,04
9,femenino,Aubrette,de Quesne,021,ciencia de la computacion,08
10,masculino,Príncipe,Cyson,041,ingenieria de la energia,01
